               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,            0.023747,            0.013762,           0.0064604,             0.81652,             0.86443,             0.90073,             0.62969,            0.010798,           0.0049544,           0.0081646,           0.0098882,           0.0098882,           0.0098882
                  66,            0.024023,            0.013383,           0.0072034,              0.8959,              0.9097,             0.94144,             0.65972,            0.010034,           0.0045764,           0.0032565,           0.0098847,           0.0098847,           0.0098847
                  67,            0.022419,             0.01335,           0.0052891,             0.88737,             0.90618,             0.94714,              0.6934,           0.0090493,           0.0042104,           0.0023145,           0.0098811,           0.0098811,           0.0098811
                  68,            0.021736,            0.013565,           0.0073551,             0.77426,             0.69417,              0.7578,              0.4599,            0.014621,           0.0065979,            0.007764,           0.0098775,           0.0098775,           0.0098775
                  69,            0.020804,            0.013851,           0.0070688,             0.79696,             0.79143,             0.83717,             0.56708,            0.012405,           0.0049837,           0.0049291,           0.0098738,           0.0098738,           0.0098738
                  70,            0.021514,            0.013327,            0.008201,             0.84944,             0.87639,             0.91125,             0.69493,            0.009921,           0.0045551,           0.0029097,           0.0098701,           0.0098701,           0.0098701
                  71,            0.023839,            0.012975,           0.0067605,             0.76551,             0.86676,             0.86042,             0.58131,            0.011695,           0.0051196,           0.0037094,           0.0098663,           0.0098663,           0.0098663
                  72,            0.021332,            0.013132,           0.0068547,             0.86363,             0.84692,             0.90005,             0.64108,            0.011261,            0.004869,           0.0046658,           0.0098625,           0.0098625,           0.0098625
                  73,            0.019587,            0.012528,           0.0041767,             0.90034,             0.89922,             0.95395,             0.74771,            0.008927,           0.0040957,           0.0032415,           0.0098586,           0.0098586,           0.0098586
                  74,            0.021838,            0.012428,           0.0062286,             0.89356,             0.91747,             0.95585,             0.73577,           0.0096631,           0.0039208,           0.0013669,           0.0098547,           0.0098547,           0.0098547
                  75,            0.024897,             0.01362,            0.006608,             0.86224,             0.89244,             0.92812,             0.72122,           0.0091307,           0.0044325,            0.002292,           0.0098507,           0.0098507,           0.0098507
                  76,            0.023138,            0.013257,           0.0075151,             0.88071,             0.82702,              0.9241,             0.74128,           0.0087572,           0.0039395,           0.0043026,           0.0098467,           0.0098467,           0.0098467
                  77,             0.02135,            0.012992,           0.0062656,             0.89367,             0.82241,             0.90682,             0.68648,            0.010471,           0.0043579,           0.0033961,           0.0098426,           0.0098426,           0.0098426
                  78,            0.021296,             0.01335,           0.0057642,             0.87068,             0.81497,             0.89328,             0.67488,            0.010514,           0.0045216,           0.0036267,           0.0098384,           0.0098384,           0.0098384
                  79,            0.023312,            0.012512,           0.0058039,              0.8749,             0.87361,             0.92175,              0.6641,            0.010295,           0.0045195,           0.0026897,           0.0098342,           0.0098342,           0.0098342
                  80,            0.020574,            0.012556,           0.0061391,             0.91614,             0.88092,             0.94722,             0.73688,           0.0088343,           0.0040805,           0.0017703,             0.00983,             0.00983,             0.00983
                  81,            0.021089,            0.012794,           0.0059263,             0.85398,              0.8704,              0.9142,             0.63415,            0.012076,           0.0047489,           0.0039461,           0.0098257,           0.0098257,           0.0098257
                  82,            0.020181,            0.012994,            0.006084,             0.89414,              0.8635,              0.9423,             0.71593,            0.010385,           0.0042704,           0.0025809,           0.0098213,           0.0098213,           0.0098213
                  83,             0.02073,            0.012632,           0.0048131,             0.77394,             0.72327,             0.80318,             0.46524,             0.01412,           0.0057187,           0.0074838,           0.0098169,           0.0098169,           0.0098169
                  84,            0.021962,            0.012472,           0.0045656,             0.91552,              0.8461,             0.93655,             0.71006,            0.010536,           0.0041511,           0.0022376,           0.0098125,           0.0098125,           0.0098125
                  85,            0.020939,            0.012443,           0.0056405,             0.88944,             0.90798,             0.94243,             0.75047,           0.0089652,           0.0039027,           0.0019146,           0.0098079,           0.0098079,           0.0098079
                  86,            0.021556,            0.012402,           0.0057342,              0.8697,             0.87321,             0.92443,              0.6904,            0.010169,           0.0046805,           0.0018205,           0.0098034,           0.0098034,           0.0098034
                  87,             0.02133,            0.013568,           0.0060708,             0.75921,             0.72012,             0.76134,             0.48981,             0.01346,           0.0054969,            0.010756,           0.0097988,           0.0097988,           0.0097988
